,User,Date,Compound,Positive,Neutral,Negative
21,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.34,0.107,0.893,0.0
22,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.4601,0.0,0.624,0.376
23,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
24,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
25,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.9151,0.0,0.56,0.44
26,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5423,0.231,0.769,0.0
27,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
28,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.8213,0.0,0.562,0.438
29,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.4215,0.123,0.877,0.0
30,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.0803,0.144,0.688,0.168
31,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5719,0.156,0.844,0.0
32,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
33,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
34,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
35,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
36,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
37,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
38,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
39,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
40,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.4767,0.0,0.807,0.193
41,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
42,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
43,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
44,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
45,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
46,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.296,0.0,0.916,0.084
47,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5827,0.0,0.744,0.256
48,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
49,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.0,0.0,1.0,0.0
50,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.3382,0.285,0.715,0.0
51,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
52,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.5449,0.0,0.857,0.143
53,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.5994,0.189,0.811,0.0
54,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,-0.75,0.082,0.607,0.311
55,@CBSNews,Wed Mar 14 01:20:03 +0000 2018,0.2047,0.108,0.892,0.0
